Timestamp,Aimag,Title (100),Title Korean (100),Description Korean (255),Description (255),About ,About Korean ,Cover (Link),Thumbnail (Link)
1/23/2023 7:14:12,Bayan-Ölgii,Ёлтын сав газар ,,,"Ёлтын сав газар нь Алтай суманд байрладаг. Алтай Таван Богдын байгалийн цогцолборт газруудын нэг. Уг газар нь унаган төрхөө хадгалж, дэлхийд ховордсон ан амьтан, ургамал тархжээ. Тэнд мөн л эх газрын эрс тэс уур амьсгал зонхилно. Ёлтын сав газар нутгийн ихэнх хэсэг уулархаг, ой зонхилдог учраас сэрүүвтэр, чийглэг байдаг. Эмийн ургамал болон хүнсний ургамлаар баялаг. Мөн Ёлтын ам, Бэхтийн гол, Өмхэйт гэдэг газруудад улаалзгана, үхрийн нүд, тошлой, хад зэрэг жимс, жимсгэнэ тархан ургахаас гадна уулын өвөрт сармисан сонгино ургадаг.",,,https://drive.google.com/file/d/1f058QCrjIbPS2i7xnYNb0Tmuuw2S4BZU/view?usp=share_link,https://drive.google.com/file/d/1p9LIgYT7i7Ugu_Oc_9eIxlJSvwiicxSo/view?usp=sharing
1/23/2023 7:18:30,Arkhangai,Чулуутын гол,촐로트강 ,아르항가이 아이막 타리아트와 운두르올랑 솜 지역에 위치하는 촐로트강은 항가이산맥의 에그 언덕에서 발원하여 415km 흘러 에데르강과 델게르강 합류하여 다시 셀겡게강으로 밀려 들어온다. 강 절벽에성 여러 약수가 솟아나올 뿐만 아니라 신석기와 청동기 시대 암각화들이 많이 발견 된 곳이다 . ,"Чулуут гол нь Хангайн нурууны Гурван Ангархай уулын баруун хэсгийн араас эх авч Даваатын гол нэртэйгээр урсан хэд хэдэн гол горхиудыг нийлүүлэн авч Чулуут гол болон 415 км урсаж Идэр голын баруун гарт очиж нийлнэ.

Усаа цуглуулах талбай нь 10750 ам.дөр.км, усны уналт нь 2000 м, гулдралын өргөн нь 80 м, гүн нь 3 м, урсгалын хурд нь 2 м/с, усны жилийн урсан өнгөрөлт нь 25 шоо м хүрнэ.

Хөндий, гулдрал нь хад чулуу ихтэй учраас Чулуут гол гэдэг нэртэй болжээ. Чулуут гол нь Тээлийн голын (их замын гүрнээс доош) адгаас доош Ацатын горхины адаг хүртэл 100 орчим км газарт 60-60 орчим м гүн хүрмэн чулуун хавцал үүсгэж урсана.

Энэ хүрмэн чулуу нь Хорго орчмын галт уулын дэлбэрэлтийн үед урсан ирсэн магмын бүтээгдэхүүн юм. Чулуут голд Ихжаргалант гол, Хүрэмт гол, Туул гол, Ажирга гол, Хангал гол, Бумбат гол, Өлзийт гол, Мөрөн гол, Уужим гол, Даага гол, Ацат гол, Тээл гол, Суман гол зэрэг олон гол горхи цутгана. Чулуут голын савд хойд өргөрөгийн 47°49', зүүн уртрагийн 100°15'-ын солбицолд гидрокарбонат сульфат натрийн найрлагатай, үе мөч, мэдрэлийн өвчнийг анагаах чанартай халуун, бүлээн рашаан оршдог. ","Энэ голын савд Чулуут, Тариат, Жаргалант, Цэцэрлэг сумдын нутагт орших Чулуут голын хадны зургийг 1998 онд улсын хамгаалалтад авчээ.",,https://mn.wikipedia.org/wiki/%D0%A7%D1%83%D0%BB%D1%83%D1%83%D1%82_%D0%B3%D0%BE%D0%BB#/media/%D0%A4%D0%B0%D0%B9%D0%BB:ChuluutCanyon.JPG,https://drive.google.com/drive/folders/1QDy8M1vkOS1fjHOGHWmec0CfMfMCywBA
1/23/2023 7:37:30,Arkhangai,Хоргын тогоо,허르거 터거 ,"아르항가이 아이막 타리아트 솜, 중심지에서 180km 떨어져 있는 곳에 테르흐차강 호수 주변에 위치하는 하성암 산이며 8.000년 전에 븐화한 산이다. 총  50km2, 해발 2.210m이다.  바로 옆에 현지인들이 말하는 ""돌 게르""가 있는데 이것은 마그마가 흘려 내리다가 식을 때 김이 올라 부어져 게르 같은 모양을 만든 것이다. 뿐만 아니라 주변에 10여 동굴이 생겼다. 이곳은 1965년에 국가보호지역으로 지정되었다. ","Хорго хэмээх газар Архангай аймгийн Тариат сумын тєвд оршдог. Хэн ч саатан хоргодом энэхvv vзэсгэлэнт нутгийг 1965 оноос дархан цаазат газрын, 1994 оноос байгалийн цогцолборт газрын зэрэглэлээр улсын тусгай хамгаалалтад авчээ.

Одоогоос 9 мянга орчим жилийн ємнє дэлбэрч байгаад унтарсан галт уул юм гэдгийг манай газар зvйн эрдэмтэд тогтоожээ. Өєрєєр хэлбэл энэ нь манай орны унтарсан галт уулуудын дотроос хамгийн сvvлд унтарсан галт уул тєдийгvй жаахан хэтрүүлбэл уур нь савсаж байгаа “шинэхэн” уул.

Хорго уул нь далайн тєвшнєєс дээш 2240 метрийн єндєр бєгєєд Хорго уулаас оргилон гарсан халуун хайлмал бодис магма нь газрын уруу даган зvvн тийшээ Суман, Чулуут голын хєндийгєєр зуугаад километр урссан байдаг. Энэ замаар барагцаалбал 10-20 километр єргєн хєндийгєєр урссан магма нь 40-50 метр зузаан хvрмэн чулуун хучилга болон царцсан байж магад гэж эрдэмтэд таамагласан байдаг.

Мөн Хорго уулыг 2 удаа дэлбэрсэн гэж ч ярилцдаг. Уулын тогооны амсар нь 50 градус орчим налуу, 100 орчим метр гvнзгий 300-400 метр диаметртэй дугуй хэлбэртэй. Хоргын тогоон дотор нь сандал, ширээ шиг том том хvрмэн чулуу ундуй сундуй хєглєрч байдаг учир явахад бэрхтэй. Тогоон дотор зєвхєн баруун талаас нь л маш болгоомжтой орж болно. Хорго уулаас урагш зургаан километр орчимд Суман голын зvvн гар талд Тариат сумын тєвєєс баруун урагш 3 орчим километр зайтай газарт чулуун гэр гэж сонирхолтой vзмэр бий. Буцлан урсч явахдаа халуун хайлмал магмын хєєс царцан хагарч 170 орчим сантиметр єндєртэй хvрмэн чулуун гэрийн “тооно”, “vvд” бий болгон тогтсон нь энэ. Ийм чулуун гэр манай бусад унтарсан галт ууланд байхгvй.

Хоргын өөр нэг гайхамшиг бол тэндхийн хvрмэн чулуун гадаргын завсар зайд ургасан намхан загзгар хуш модны самар болон бусад жимс нэн элбэг байдаг явдал. Бас хvрмэн чулуунд агуй хонгил элбэг. Хорго уулаас 20 орчим километрт Босгын, Хярын, Сугын тогоо гэж гурван унтарсан галт уул бий. Босгын тогоо нь баруун хойшоо сэтэрсэн боловч ёроолдоо нууртай. Хорго орчмын шаврын царам уулаас туйлын ховор, дээд зэргийн эрдэнийн чулуу алмаз олдсон гэдэг.",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://www.youtube.com/watch?v=eliuWrI0yTQ
1/23/2023 8:01:34,Arkhangai,Тэрхийн Цагаан Нуур ,테르흐차강 호수 ,"이 호수는 항가이산맥에서 발원하는 테르흐강물이 화산 고운의 암석물질에 담겨 만들어진 호수이다. 담수호이고 길이는 16km, 제일 넓은 곳은  6km. 총 61km2, 수심은 20m, 해발 2.060m에 위치한다. ","Тэрхийн Цагаан нуур нь Хорго уулаас баруун тийшээ далайн төвшнөөс дээш 2060 метр өндөрт оршино. Тэрхийн цагаан нуур нь 16 километр урт, 6 километр өргөн, 61 ам километр талбайтай 20 метр гvн цэнгэг устай урсгал нуур. Хорго уул дэлбэрэхэд оргилон гарсан халуун хайлмал бодис нь Тэрхийн голын хөндийгөөр дvvрч, тэр голын урсгалыг хаахад Тэрхийн цагаан нуур vvсчээ. Өөрөөр хэлбэл энэ нуур 9 мянган орчим жилийн настай ажээ. Дотроо хэд хэдэн аралтай нуурын толгой гэдэг арал дээр нь зундаа гогой гэдэг шувуу vvрээ засан өндөглөдөг. Нуурын хойгуур хvрээлэн орших Тарвагатайн нуруунаас эх авсан Нарийн гэх зэрэг гол горхи энд цутгадаг. Мєн гутар, зэвэг, хадран зэрэг олон зvйл загастай. Харин сүүлд Хорго-Тэрхийн цагаан нуурын 773 ам километр талбайг улсын хамгаалалтад авчээ.",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
1/23/2023 8:23:09,Arkhangai,Суварга хайрхан уул,소브르가하이르항산 ,"소브르가하이르항산 은 아르항가이 아이막의 쳉헤르솜에 있다. 해발 3117m이다. 이 산자락이 숲으로 이뤄졌으며, 작은 호수가 있어 아름다운 풍경 인상깊다. 또한 산을 멀리서 보면 양반 다리하고 앉아 있는 사람 처럼 보인다. , ","Суврага хайрхан уул нь Архангай аймгийн Цэнхэр сумын нутагт оршдог бөгөөд далайн түвшнээс дээш 3117 метр өргөгдсөн, Хангайн уулархаг мужид багтах уул юм.

Суврага хайрхан уул нь хормойгоороо ой модоор хучигдсан, нүцгэн оройтой, ноён оргилоосоо доохно, уулын энгэр талдаа тунгалаг нууртай, завилаад сууж буй хүн шиг сонин тогтоц бүхий уул юм. Нутаг усныхан болон ойр орчмын хүмүүс энэ уулыг эртнээс тахин шүтэж, эр хүн жил бүр ууланд гарч хийморио сэргээдэг эртний уламжлалтай юм.

Суврага хайрханы урд элэгнээс Орхон, араас нь Урд Тамир, зүүн суганаас нь Цэцэрлэгийн голууд эх авдаг, Хангайн нурууны усны гол хагалбар газар юм.

Суврага хайрхан уулнаас салбарласан өвөр талдаа Боржин хад, Байц цохио, Нүцгэн орой, хүнх, хуниас бүхий Солбидог, Жимгэр, Хошгот, Тонгорогийн их, Бор, Цагаан өргөө зэрэг олон сүрлэг нугууд салбарладаг бөгөөд эдгээр уулсаас Тонгоргийн гол, Хошготын гол, Жимгэрийн гол, Хөрвөөлгийн гол, Өлзий Тээлийн гол зэрэг түргэн урсгалтай, үхэр чулуутай бэсрэгхэн голууд гол төлөв их ганга, анаг хавцал дундуур боргио үүсгэн урсч Орхон голын эх сав газрыг бүрдүүлдэг ба Улаан цутгалан хэмээх хүрхрээг үүсгэн Өвөрхангай, Булган, Сэлэнгэ аймгийн олон ард иргэдийг ундаалж, амьдрах усны эх болдог байна.",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
1/23/2023 8:31:35,Arkhangai,Тамирын гол,타미르강,"이 강은 세 줄기로 이루어지기 때문에 세 타미르 라고 불리기도 한다. 남타미르강 길이는 165km이고, 북타미르강 길이는 180km이며 물살이 세다. 강 넓이는 40-70m, 수심은 2-3m,수류 속도는 1초에 2m 정도이다. 타미르강은 수류가 강하며 처히어트 산맥에서 발원하는 강이기 때문에 짧은 기간 내에 내리는 집중호우로 수위가 올라가는 반면 빠른 기간 내에 쉽게 줄어든다.당연리 겨울에는 수심이 꽁꽁 언다. ","Тамир гол нь Монголын нууц товчоонд ч Тамир нэрээрээ гардаг. Хангайн нурууны хэсэг Гурван Ангархай, Цохиотын нуруунаас эх авч урсана. Хойд, Урд Тамир гол нийлсний дараа Тамир гол нэртэй болно. Ингэж Гурван-Тамир гол гэдэг нэр гарсан. Урд Тамир голын эхээс тооцвол 280 км урт, усаа цуглуулах талбай нь 13,100 км². Хойд Тамир дээд хэсэгтээ эгц хажуутай нарийн хөндийгөөр урсдаг. Баруун гарын эрэг нь хар модон ойтой. Урд тамир гол нь дээд хэсэгтээ Хошгот, Архошгот зэрэг голуудыг нийлүүлэн авч урсдаг, түргэн урсгалтай, жинхэнэ уулын гол юм. Тамирын хөндий нь их өргөснө. Голдрилын өргөн нь 40 - 70 м, гүн нь 2-3 м, урсгалын хурд нь 2 м/с хүрнэ. Тамирын голын савд төмрийн хүдрийн баялаг орд бий. Урд Тамирын голоос эртний төрмөлийн эриний түүх дурсгалын зүйл олддог.",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
1/23/2023 8:34:34,Arkhangai,Булган уул,볼강 산 ,"볼강산은 아르항가이 아이막 중심인 체체를렉 시에 위치하며 1965년 1800ha 면적을 내주어 국립공원을 만들어 1995년  보호지역으로 지정하였다, ,  ","Булган уул нь Архангай аймгийн Цэцэрлэг сумын дэргэд оршдог бөгөөд байгалийн үзэсгэлэнт байдлыг нь харгалзан 1965 онд 1.8 мян. га талбай бүхий газрыг хамгаалалтад авсан байна. Булган уул нь Хангайн муж, түүний ландшафтын нийтлэг төрхийг төлөөлж чадахгүй учраас байгалиин үзэсгэлэнт байдал, түүхийн дурсгалт зүйлс байдгийг нь харгалзан УИХ-ын 1995 оньг 26 дугаар тогтоолоор байгалийн дурсгалт газар болгосон. Нийтдээ 1840 га талбайтай.

Дурсгалт газрын дундуур зүүн хойш чиглэсэн гол их нуруу хоёр Тамирын усны хагалбар болох бөгөөд энд Аригийн нуруу, Хамрын нуруу, Хялалзах, Мурилзахын нуруу зэрэг боржин хаднаас тогтсон олон нуруу, зүүн өмнө орших Таван цохионоос эгц хойш Цагдуулт (1940м) боржин хадат уул, Малгай (2143 м) зэрэг өндөр уултай. Булган уулын зүүн хормойд орших Жамганы рашаан, баруун хэсэгт Ганц модны рашаан гэх мэт рашаан ус бий.

Булган уул ой мод, хадлан бэлчээрийн ургамлаар нэн баялаг тул тус орны ой хөвч, ойт хээрийн бүсэд тохиолддог ургамлын ихэнх зүйл ургана. Энд гүзээлзгэнэ, хад тошлой, самар, таван салаа, тарваган шийр, сөд, царван, алтан гагнуур, бамбай, ганга, нохойн хошуу, гишүүнэ, хунчир зэрэг эмийн ургамал ургана. Мөн цагаан төмс, мэхээр, бүүргэнэ, гонид зэрэг хүнсэнд хэрэглэгддэг ургамалтай. Булган ууланд Хангайн бусад нутгийн нэгэн адил хар мод, хуш зэрэг шилмүүст мод хус улиас, улиангар, хайлаас зэрэг навчит модтой. Булган уул хүн ам олонтой. Үймээн шуугиан ихтэй хотын яг дэргэд, нэн ойрхон орших учир ан амьтан дүрвэн зайлдаг. Буга, бор гөрөөс, хүдэр, шилүүс, гахай, мануул, хэрэм, жирх, үен, солонго, үнэг, чоно, чандага, туулай, агнуурын шувуунаас хур, сойр, ятуу, хөтүүг, жигүүртнээс харцага, бүргэд, ууль, шар шувуу, алаг шаазгай, хон хэрээ, тагтаа зэрэг ан амьтан жигүүртэн шувуудтай.",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
1/23/2023 8:40:10,Arkhangai,Тайхар чулуу,타이하르 바위,"이 바위는 아르항가이 아이막 이흐타미르솜 북타미르솜강가에 위한다.높이는 16m의 화강암 바위이다. 수백만년 동안 타미르강이 화강암 북안을 갈라놓아 이 언덕이 생겼다. 타이하르바위에는 돌궐,위구르,몽골,티베트,만주,중국 등 여러 국가의 문자로 7-17세기에 해당하는 150개의 단어가 새겨져 있지면 시간이 지날수록 희미해지고 있다. ","Тайхар чулуу нь Архангай аймгийн Их тамир сумын нутагт Тамирын голын хөвөөнд орших бүдүүн ширхэгт боржин чулуун цохио. VII-IX зууны бичээс дурсгалын зүйл ихтэй.

Тайхар чулуу нь газрын байрлалын хувьд урдуур хойгуур нь өндөр дэнж(хар эрэг)-тэй, харалдаа ард нь тайхар чулууруу харсан хадан хясаа бүхий намхавтар уултай(улаан толгой) бөгөөд олон жилийн өмнө урд хойд хоёр эргийн хооронд их хэмжээний ус урсдаг, арын уул нь тайхар чулууг хүртэл урагшаа үргэлжилсэн байрлалтай байсан. Энэхүү чулуун хөшөөний тухай олон домог, шинжлэх ухааны тайлбарууд байдаг.

Эрт цагт аварга могой газраас цухуйн хамаг амьтныг залгин гамшиг тарьж байх үед Бөхбилэг гэдэг хүчтэн Булган уулаас Тайхар чулууг авч үүрч Цагаан даваагаар давж тэр уулын оройгоос Могойн толгой руу шидэн даржээ. Ингээд энэ чулууг эхлээд Тархи чулуу гэж нэрлэдэг байсан нь хожим хувирч Тайхар чулуу гэх болжээ. Бөхбилэг уг чулууг үүрч явахдаа Шивэрт хэмээх аманд хэсэг амарсан гэнэ. Тэгтэл чулуу тавьсан газар нь цөмөрч ус олгойдон гарсан гэдэг. Ингэж шивэртийн халуун Рашаан үүссэн домогтой. Мөн могойн сүүл цухуйсан газрыг Шивэрт гэж нэрлэжээ.",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
1/23/2023 8:51:19,Arkhangai,Хар балгас,,," Хар балгас Төв азийн нүүдэлч ард түмний дунд МЭ VIII-IХ зууны үед ээлжит төр улсаа байгуулан 100 орчим жил оршин тогтнож байсан Уйгурын хаант улсын нийслэл Орду балык буюу нутгийнхны нэршлээр Хар балгас гэдэг их хотын нуранхай Архангай аймгийн Хотонт сумын нутагт, Хархориноос зүүн хойш 40 км-т Орхоны хөндийд байдаг.

Уйгурын Яглакар овгийн Ноён Пэйло 744 онд биеэ Күтүлүг Билгэ Күл хаан (744-747) хэмээн өргөмжилж хаан ширээнд суусан байна. Түний удирдсан хүч 745 онд Түрэгийн хаант улсыг бүрмөсөн бут цохиж Уйгур улсыг байгуулав. Тэрээр 751 онд Орхоны хөндийд Орду Балык буюу Балыклик (Хар балгас) хэмээх хот цогцлон байгуулж улсын нийслэл болгожээ. Энэхүү хот нь Хөх Түрэгийн хаант улсын нийслэл хотын туурин дээр байгуулагдсан гэж үздэг.

Уйгур улсын нийслэл Хар балгас хотын ор үлдэц нь 32 км2 талбай эзэлсэн асар том хот байсан нь мэдэгддэг. Хотын талбай нь худалдаа, гар үйлдвэрийн хэсэг, хааны орд харш, сүм дуган зэрэг хэсгүүдээс бүрдэнэ. Хааны орд нь тусгайлж барьсан цайзат хэрэмтэй, хойт, урд хоёр талдаа тус бүр хоёр том хаалгатай байсан бөгөөд цэрэг дайны зорилгоор цайзны ханыг тойруулан олон цонж, цамхаг барьсан байжээ.

Хар балгасны цайзат хэрэм хэмжээгээр ихийн /0,6х0,6 км/ дээр нэлээд нурсан боловч одоо арваад метр өндөр, цайз нь 12 м, хэрмийн төвд байсан том цайз /хараат/ 14 м байна. Хэрмийн дээгүүр 14 цонж цамхагийн оромтой ба гурван талаасаа шуудуугаар хүрээлэгджээ. Цайзат хэрмэнд Уйгурын хааны орд харш байсан нь малтлагын олдвороос мэдэгддэг. ",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
1/23/2023 8:57:40,Arkhangai,Билгэ хааны цогцолбор,빌게왕 기념비 ,"이 기념비는 아르항가이 아이막 하샤트솜 차이담박에 위치하는 우기호수에서 남서쪽으로 36km, 하르호롬에서 북쪽으로 47km 떨어져 있는곳에 차이담호수의 남서쪽에 위치한다. 이는 100여년 동안 연구도어 왔는데, 1958년에 몽골, 체코합동연구단이 발굴하였다. 엘테레스왕의 아들 빌게는 돌궐의 마지막 왕이며 19년동안 나라를 다스렸다. 그의 동생인 퀼테긴은 똑똑하고 능한 장군이며 731년 49세 때 서거하였다. 퀠테긴은 자기 형 빌게 왕위에 오를 때 그를 돕기 위해 여러 정책으로 장려하며 애를 썼다. 빌게왕이 동생의 공헌을 기리기 위해 732년 8월 1일에 이 개념관을 세웠다.   ","Билгэ хааны цогцолбор Архангай аймгийн Хашаат сумын Цайдам бригадын нутагт Өгий нуураас баруун урагш 36 км, Хархориноос хойш 47 км зайд Хөгшин Орхон голын зүүн эрэг, Цайдам нуурын баруун өмнө оршдог. Эл дурсгал нь Хөшөө цайдмын дурсгал, Орхоны хөндийн дурсгал, Культегины бичээс, Билгэ хааны дурсгал гэх мэтээр нэрлэгдэн 100 гаруй жилийн турш судлагдсаар иржээ.

Элтерэс хааны хүү Билгэ бол Түрэг улсын сүүлчийн хаан бөгөөд 19 жил улсаа удирдсан юм. Түүний дүү Культегин нь ухаалаг, авъяаслаг цэргийн жанжин байгаад 731 онд 49 насандаа таалал төгсчээ. Культегин ах Билгэг хаан ширээнд суухад тууштай дэмжиж түүний төлөө хүчин зүтгэсэн түүхтэй. Билгэ хаан дүүгийнхээ дурсгалд зориулан тахилын цогцолбор, шүтээний сүмийг 732 оны 8 дугаар сарын 1-нд босгуулжээ. Цогцолборын урт 67 метр, өргөн 29 метр, 1 метр зузаан тоосгон хэрэмтэй, түүний гадуур шуудуугаар хүрээлэгдсэн, хэрмийн доторхи сул зайг бүхэлд нь 32 х 32 х 6 см хэмжээтэй тоосгоор бүрсэн байжээ. Цогцолборын голд наран ургах зүгт харуулан Культегины гэрэлт хөшөөг байрлуулсан бөгөөд мэлхий чулуун суурийн хамт өндөр нь 383 см, өргөн нь 132 см, зузаан нь 46 см юм. Хөшөөний дээд хэсэгт эвхэрсэн хоёр лууг чимэглэж, бичээсийг голлуулан Ашина овгийн тамга болох янгирын дүрс, гурван талд нь нийт 68 мөрөнд 10 мянган үсэг зурлага бүхий руни бичээсийг сийлжээ.

Билгэ хааны онгон цогцолбор нь Культегин жанжны дурсгалаас урагш 1 км орчим зайд байдаг. Билгэ хаан 734 оны 11 дүгээр сарын 23-нд насан эцэслэжээ. 735 оны 7 дугаар сарын 22-нд тахилын сүм хийгээд гэрэлт хөшөөг нь босгож, бичээсийг Культегины ач хүү Ёлуг Тегин 34 хоног сууж сийлсэн байна. Хөшөө нь 345 см өндөр, 174 см өргөн, 75 см зузаан болно.

Билгэ хаан болон Культегины эдгээр цогцолбороос шавар сав, төмрөөр хийсэн аж ахуйн болон гоёл чимэглэлийн зүйлс, вааран дээврийн хэсэг, тосгуур зэрэг 2000 орчим эд өлгийн зүйл олджээ. Вааран дээврийн хагархай дээр нүүдэлчид морин давхиан дунд харвалдаж буй дүрс байсан нь судалгааны чухал дурсгал болдог. Чулуун хашлага бүхий дөрвөлжин булшны ор олдсоныг судлаачид жинхэнэ булш биш харин эзний оршуулгыг бэлгэдэн хийсэн зан үйлийн шинжтэй гэж дүгнэжээ. Хүн хөшөөд нь тухайн үеийн хүмүүсийн дүр төрх, хувцас хэрэглэл, гоёл чимгийг бодитойгоор илэрхийлжээ. Хөшөө цайдмын эдгээр дурсгалууд мянга гаруй жилийн түүхэндээ ихээхэн эвдэрч гэмтсэн боловч ЮНЕСКО “Дэлхийн гайхамшигт үнэт зүйл болох нь” гэдэг зэрэглэлээр дэлхийн соёлын өвд 1996 онд бүртгэн авсан байна. Монгол улс 20.8 км.кв талбайг 1961 онд улсын хамгаалалтанд авчээ.",,,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z,https://drive.google.com/drive/folders/1Fr2SU1TLG7-BhbhycOp7cqvABzJ7UO-Z
