Timestamp,Aimag,Title (100),Title Korean (100),Description Korean (255),Description (255),About ,About Korean,Cover (Link),Thumbnail (Link)
1/23/2023 7:14:12,Bayan-Ölgii,Yolt basin,열팅사브 가자르,"열팅사브 가자르는 알타이솜에 위치한다. 알타이타왕벅드 국립공원의 유적지 중 하나이다. 이곳엔 세계적으로 멸종위기에 처한 동물, 식물이 많다. 열팅사브 가자르 주변이 산과 숲이 많으며, 춥고, 습기가 있는 곳이다.  여러 약초, 식물이 많다. 다래, 양까막까치밤나무 등 열매가 있다. ","The Yolt Basin is located in the Altai Sumatra. One of the natural complexes of Altai Tavan Bogd. The area has preserved its original appearance, and endangered animals and plants have spread around the world. Extreme continental climate prevails there. Most of Yolt Basin is mountainous and forested, so it is cooler and more humid. Rich in medicinal plants and edible plants. Also, in Yolt mouth, Bekht River, and Umheit, fruits and berries such as gooseberry, gooseberry, toshloi, and khad grow widely, and garlic onions grow in the foothills of the mountains.",,,demo/landmarks/Ёлтын сав газар.jpg,demo/landmarks/Ёлтын сав газар2.jpg
1/23/2023 7:18:30,Arkhangai,Stone river,촐로트강 ,아르항가이 아이막 타리아트와 운두르올랑 솜 지역에 위치하는 촐로트강은 항가이산맥의 에그 언덕에서 발원하여 415km 흘러 에데르강과 델게르강 합류하여 다시 셀겡게강으로 밀려 들어온다. 강 절벽에성 여러 약수가 솟아나올 뿐만 아니라 신석기와 청동기 시대 암각화들이 많이 발견 된 곳이다 . ,"The Chuluut River originates from the western part of the Three-Cleft Mountain in the Khangai Mountains and joins several streams that flow under the name of the Davaat River. The water catchment area is 10,750 square kilometers, the water fall is 2,000 m, the channel width is 80 m, the depth is 3 m, the flow speed is 2 m/s, and the annual water discharge is 25 cubic meters. Because the valleys and ravines are full of rocks, they got the name Rocky River. The Chuluut River flows from the head of the Teel River (below the highway) to the bottom of the Atsat Stream, forming a 60-60 m deep stone canyon in a distance of about 100 km. This cobblestone is a product of magma that flowed during the eruption of the volcano near Khorgo. Many streams flow into Chuluut River, including Ihjargalant River, Khuremt River, Tuul River, Ajirga River, Khangal River, Bumbat River, Ulziit River, Murun River, Uujim River, Daaga River, Atsat River, Teel River, and Suman River. There is a hot and warm spring in Khulut river basin at 47°49' north latitude and 100°15' east longitude, which is composed of sodium hydrogen carbonate sulfate and can treat joint and nerve diseases.",,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/ChuluutCanyon.JPG/1920px-ChuluutCanyon.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/ChuluutCanyon.JPG/1920px-ChuluutCanyon.JPG
1/23/2023 7:37:30,Arkhangai,Slaughterhouse,허르거 터거 ,"아르항가이 아이막 타리아트 솜, 중심지에서 180km 떨어져 있는 곳에 테르흐차강 호수 주변에 위치하는 하성암 산이며 8.000년 전에 븐화한 산이다. ","A place called Khorgo is located in the center of Tariat Sum of Arkhangai province. This beautiful area has been protected by the state since 1965 as a reserve and since 1994 as a natural park. Our geoscientists have determined that it is a volcano that erupted about 9,000 years ago and went extinct. In other words, it is not only the most recently extinct volcano among the extinct volcanoes of our country, but it is also a ""new"" mountain that is still raging. Mount Khorgo is 2240 meters above sea level, and the hot molten magma that erupted from Mount Khorgo has flowed hundreds of kilometers along the valleys of Suman and Chuluut Rivers. Scientists have assumed that the magma that flowed through the 10-20 kilometer wide valley along this route may have frozen into a 40-50 meter thick layer of natural stone. It is also said that Mount Khorgo erupted twice. The mouth of the mountain crater has a circular shape with a diameter of 300-400 meters, a slope of about 50 degrees, and a depth of about 100 meters. It is difficult to walk because there are large rocks like chairs and tables inside the crater. You can enter the crater only from the right side, very carefully. About six kilometers south of Khorgo Mountain, on the right bank of the Suman River, and about 3 kilometers southwest of the center of Tariat Sum, there is an interesting stone house. While boiling and flowing, the foam of hot molten magma cracked and formed into the ""figures"" and ""vvds"" of the 170-centimeter-tall stone house. Such a stone house is not found in any of our other extinct volcanoes. Another miracle of Khorg is the abundance of nuts and other fruits of the low-lying cedar trees that grow in the gaps between the limestone surfaces. There are many caves and tunnels in the natural stone. About 20 kilometers from Mount Khorgo, there are three extinct volcanoes: Bosgyn, Khyaryn, and Sugy craters. Bosg Crater is rifted to the northwest, but has a lake at the bottom. It is said that an extremely rare and high-quality gem, diamond, was found in the mud-jaram mountain near Khorgo.",,,demo/landmarks/Хорго нүүр.jpg,https://i.ytimg.com/vi/eliuWrI0yTQ/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYACpAWKAgwIABABGGUgZShlMA8=&rs=AOn4CLDBuX1AyxZ_dGpvLY4B2_og9LkyXw
1/23/2023 8:01:34,Arkhangai,White Lake of Terkh,테르흐차강 호수 ,"이 호수는 항가이산맥에서 발원하는 테르흐강물이 화산 고운의 암석물질에 담겨 만들어진 호수이다. 담수호이고 길이는 16km, 제일 넓은 곳은  6km. 총 61km2, 수심은 20m, 해발 2.060m에 위치한다. ","Terkh Tsagaan Lake is located at an altitude of 2060 meters above sea level to the west of Khorgo Mountain. The white lake of Terkhin is a 20-meter-deep flowing freshwater lake with a length of 16 kilometers, a width of 6 kilometers, and an area of 61 square kilometers. When the Khorgo mountain erupted, the hot molten material flowed through the valley of the Terkhi river, and when the flow of the river was blocked, the white lake of Terkhi was formed. In other words, this lake is about 9 thousand years old. In summer, a bird called gogoi lays its eggs on the island called the head of the lake, which has several islands in it. Streams such as Naryn, which originates from the Tarvagatai ridge, which lies behind the lake, flow here. There are also many types of fish such as gutar, roach, and grayling. But later, 773 square kilometers of Khorgo-Terzhyn white lake was taken under state protection.",,,https://news.mn/wp-content/uploads/2019/07/img2015110414155690372847.jpg,https://th.bing.com/th/id/R.112e90d08175e89d3ce621084df1f9ee?rik=oOEmQsIlJktCuA&pid=ImgRaw&r=0
1/23/2023 8:23:09,Arkhangai,Suvarga is a lovely mountain,소브르가하이르항산 ,"소브르가하이르항산 은 아르항가이 아이막의 쳉헤르솜에 있다. 해발 3117m이다. 이 산자락이 숲으로 이뤄졌으며, 작은 호수가 있어 아름다운 풍경 인상깊다. 또한 산을 멀리서 보면 양반 다리하고 앉아 있는 사람 처럼 보인다. , ","Suvraga Khairkhan Mountain is located in the Cenkher Sum area of Arkhangai Province, and is 3117 meters above sea level. Suvraga Khairkhan Mountain is a mountain with a strange shape like a man sitting cross-legged, with a bare top, a clear lake on the side of the mountain, and a bare top. The local people and the surrounding people have worshiped this mountain for a long time, and it is an ancient tradition that men go to the mountain every year to refresh their spirits. It is the main watershed of the Khangai mountain range, where the Orkhon, the Urd Tamir, and the Tsetserleh rivers originate from the front of Suvraga Khairkhan. Branching out from Suvraga Khairkhan Mountain, many majestic meadows such as Granite Rock, Bait Khayo, Bare Top, Sunh, and Pleated Solbidog, Jimger, Khoshgot, Tongorogi Ikh, Bor, and Tsagaan Hagae branch off from these mountains. River and Ulzii Teeli River, small rivers with a fast flow and small stones, mainly flowing through the great ganga and anag gorges, form the source basin of the Orkhon River, and create a waterfall called the Ulaan tributary, which provides drinking and living water to many people of Ovorkhangai, Bulgan, and Selenge provinces. is happening.",,,demo/landmarks/Суврага хайрхан уул.jpg,demo/landmarks/Суврага хайрхан уул.jpg
1/23/2023 8:31:35,Arkhangai,Tamir River,타미르강,"이 강은 세 줄기로 이루어지기 때문에 세 타미르 라고 불리기도 한다. 남타미르강 길이는 165km이고, 북타미르강 길이는 180km이며 물살이 세다. 강 넓이는 40-70m, 수심은 2-3m,수류 속도는 1초에 2m 정도이다. 타미르강은 수류가 강하며 처히어트 산맥에서 발원하는 강이기 때문에 짧은 기간 내에 내리는 집중호우로 수위가 올라가는 반면 빠른 기간 내에 쉽게 줄어든다.당연리 겨울에는 수심이 꽁꽁 언다. ","The Tamir River appears in the Mongolian Secret Bureau under the name Tamir. The part of Khangai ridge originates from Three Gaps and Tsokhiot ridges. After the confluence of North and South Tamir rivers, it will be named Tamir river. This is how the name Gurvan-Tamir River was born. It is 280 km long from the source of the South Tamir River, and its catchment area is 13,100 km². North Tamir flows through a narrow valley with steep sides in its upper part. The right bank has a dark wood forest. The Urd Tamir River is a fast-flowing real mountain river that joins Khoshgot and Arkhoshgot rivers in its upper part. The pelvic cavity is greatly expanded. Golddrill width is 40 - 70 m, depth is 2-3 m, flow speed reaches 2 m/s. There are rich deposits of iron ore in the Tamir river basin. Historical relics of the ancient Turmulian era can be found in the Urd Tamir River.",,,demo/landmarks/тамир-гол1.jpg,demo/landmarks/тамир-гол2.jpg
1/23/2023 8:34:34,Arkhangai,Mount Bulgan,볼강 산 ,"볼강산은 아르항가이 아이막 중심인 체체를렉 시에 위치하며 1965년 1800ha 면적을 내주어 국립공원을 만들어 1995년  보호지역으로 지정하였다, ,  ","Bulgan Mountain is located near Tsetzerleg Sum of Arkhangai Province, and considering its natural beauty, in 1965, 1.8 thousand. hectare of land has been protected. Due to its natural beauty and historical monuments, Mount Bulgan cannot represent the general appearance of Khangai province and its landscape. It has a total area of 1840 hectares. In the middle of the memorial, the two main ridges to the northeast are the Tamir watershed, where there are many ridges made of granite rocks, such as the Ari ridge, the Hamr ridge, the Khylalzakh ridge, and the Murilzakh ridge. 2143 m) with high mountains. There are hot spring waters such as Jamgan Spring on the eastern side of Bulgan Mountain and Gantz Modi Spring on the western side. Bulgan Mountain is very rich in forest and hay pasture plants, so most of the plant species found in the country's forest edge and forest steppe region grow. Medicinal plants such as strawberry, hollyhock, nut, five-branched, marjoram, sed, sardine, golden weld, shield, thyme, dog's beak, sycamore, and ostrich grow here. There are also plants used for food, such as white potatoes, sweet potatoes, and gonids. As in other parts of Khangai, Bulgan Mountain has conifers such as ebony, cedar, birch, aspen, and deciduous trees such as elm. Bulgan Mountain has a large population. Because it is so close to a bustling city, animals flee. Deer, roe deer, moose, lynx, boar, marten, squirrel, elk, elk, rainbow, fox, wolf, sable, hare, game bird, sable, partridge, partridge, vulture, eagle, owl, owl, spotted There are game birds such as magpies, crows and pigeons.",,,demo/landmarks/Булган уул 2.jpg,demo/landmarks/Булган уул.jpg
1/23/2023 8:40:10,Arkhangai,Taihar stone,타이하르 바위,"이 바위는 아르항가이 아이막 이흐타미르솜 북타미르솜강가에 위한다.높이는 16m의 화강암 바위이다. 수백만년 동안 타미르강이 화강암 북안을 갈라놓아 이 언덕이 생겼다. 타이하르바위에는 돌궐,위구르,몽골,티베트,만주,중국 등 여러 국가의 문자로 7-17세기에 해당하는 150개의 단어가 새겨져 있지면 시간이 지날수록 희미해지고 있다. ","Taikhar rock is a coarse granite cliff located on the banks of Tamir River in Ikh Tamir Sum area of Arkhangai province. There are many inscriptions and monuments of the 7th-9th centuries. In terms of the location of Taihar stone, there is a high terrace (black beach) in front and back, and a low-lying mountain (red head) with a cliff facing the Taihar stone. It was in a position that continued to the south even to the Taihar stone. There are many legends and scientific explanations about this stone monument. Once upon a time, when a giant snake was wreaking havoc on all living creatures, a mighty man named Bohbileg carried the Taihar stone from Mount Bulgan, crossed the Tsagaan Pass, and threw it at the head of the snake from the top of that mountain. So, this stone was first called Tarhi stone, which later changed to Taihar stone. While carrying the stone, Bohbileg rested for a while in the mouth called Shivert. It is said that the place where the stone was placed broke and water came out. There is a legend that this hot spring was born. Also, the place where the snake's tail protruded was called Shivert.",,,demo/landmarks/тайхар 2.jpg,demo/landmarks/тайхар.jpg
1/23/2023 8:51:19,Arkhangai,Black ruins, 하르 발르가스 ,"하르발르가스는 기원전 VIII-IX 세기 국가를 건국 하여 100여 년 존재한 위구르의 수도인 어르도 발맄 즉 현지인들이 하르 발르가스라고 부르는 도시의 터이다. 아르항가이 아이막의 허턴트 솜, 하르호롬시에서 북동쪽으로 40km 떨어져 있다.  ","Black ruins Ordu balyk, the capital of the Uygur kingdom, which existed for about 100 years among the nomadic peoples of Central Asia in the 8th-1st centuries AD, is the ruins of a large city called Ordu balyk, or Black ruins, in the area of Khotont sum, Arkhangai province, 40 km northeast of Kharhorin. in the Orkhon Valley. Mr. Paylo of the Uyghur Yaglakar tribe ascended the throne in 744, naming himself Kütulug Bilge Kül Khan (744-747). In 745, the forces led by him completely crushed the Turkic kingdom and established the Uyghur state. In 751, he built a city called Ordu Balyk or Balyklik (Black Ruins) in the Orkhon valley and made it the capital of the country. The city is believed to have been founded on the site of the capital city of the Khokh Turki Kingdom. It is known that the remains of the capital city of Uyghur, Khar Balgas, were a huge city covering an area of 32 km2. The city square consists of commercial and industrial areas, royal palaces and mosques. The royal palace had a specially built fortress wall, two large gates on the north and front sides, and many turrets and towers were built around the fortress wall for military purposes. The wall of the Black Ruins fortress is quite large (0.6 x 0.6 km) but it is now ten meters high, the castle is 12 m, and the big castle in the center of the wall is 14 m. There are 14 towers above the wall and it is surrounded by a moat on three sides. It is known from the excavation findings that there was a palace of the Uyghur king in the fortress wall.",,,demo/landmarks/тайхар 2.jpg,demo/landmarks/тайхар.jpg
1/23/2023 8:57:40,Arkhangai,Bilge Khan Complex,빌게왕 기념비 ,"이 기념비는 아르항가이 아이막 하샤트솜 차이담박에 위치하는 우기호수에서 남서쪽으로 36km, 하르호롬에서 북쪽으로 47km 떨어져 있는곳에 차이담호수의 남서쪽에 위치한다. ","Bilge Khan's complex is located on the east bank of Khogshin Orkhon River and southwest of Tsaidam Lake, 36 km southwest of Ogii Lake and 47 km north of Kharkhorin, in the area of Tsaidam Brigade, Khashaat Sum, Arkhangai Province. The El monument has been studied for more than 100 years under the names of Hoshuo Tsaidm Monument, Orkhon Valley Monument, Kultegin Inscription, Bilge Khan Monument, etc. Bilge, the son of Elteres Khan, was the last king of Turkey and ruled the country for 19 years. His younger brother Kultegin, a wise and talented military general, died in 731 at the age of 49. It is said that Kultegin supported his brother Bilge when he ascended the throne and worked hard for him. Bilge Khan built a sacrificial complex and idol temple on August 1, 732 in memory of his brother. The complex is 67 meters long, 29 meters wide, and has a 1 meter thick brick wall, surrounded by a moat, and the empty space inside the wall was covered with bricks measuring 32 x 32 x 6 cm. In the center of the complex, facing the rising sun, is the illuminated statue of Kultegin, which, together with the frog stone base, is 383 cm high, 132 cm wide, and 46 cm thick. The upper part of the statue is decorated with two folded dragons, and the image of the ibex, which is the seal of the Ashina clan, is the center of the inscription, and a runic inscription with 10,000 letters in 68 lines is carved on three sides. The virgin complex of Bilge Khan is about 1 km south of the memorial of General Kultegin. Bilge Khan died on November 23, 734. On July 22, 735, the sacrificial temple and its illuminated statue were erected, and the inscription was engraved by Kultegin's grandson, Yolug Tegin, sitting for 34 days. The statue will be 345 cm high, 174 cm wide and 75 cm thick. About 2,000 artefacts were found in these complexes of Bilge Khan and Kultegin, including clay vessels, household and decorative items made of iron, parts of tiled roofs, and atriums. On the broken tiles of the roof, there was a figure of nomads shooting among horses, which is an important monument of research. The discovery of a square grave bed with a stone railing, the researchers concluded, was not a real grave, but a ritual symbol of the owner's burial. His statues realistically expressed the appearance, clothes, and ornaments of the people of that time. These monumental monuments have been greatly damaged in the history of more than a thousand years, but they were registered as a world cultural heritage by UNESCO in 1996 under the category of ""Wonderful World Treasures"". In 1961, Mongolia took an area of 20.8 square kilometers under state protection.",,,demo/landmarks/Билгэ хааны цогцолбор.jpg,demo/landmarks/Билгээ хаан.jpg
